"Item","Description","Qty","Value","Sold Value"
"BEST FASHION","COMMANDE","200 000","0,00D A","0,00D A"
"BE PRO","JOURNAL SATIN","69 619","0,00D A","0,00D A"
"BARCA","STOCK RAHIM","200","23 000,00D A","23 000,00D A"
"BABY SHARK","PRODUCTION","100","17 000,00D A","17 000,00D A"
"B V B","FEUILLE TRANSFER","15","3 750,00D A","3 750,00D A"
"ATTACHE 7","ATTACHE","20","0,00D A","0,00D A"
"ATTACHE 35","ATTACHE","40","0,00D A","0,00D A"
"ARMY/8P","FEUILLE Transfer","525","0,00D A","0,00D A"
"ARMY/6P","FEUILLE Transfer","532","0,00D A","0,00D A"
"ARMY/4P","FEUILLE Transfer","1 038","0,00D A","0,00D A"
"ARMY/24P","FEUILLE Transfer","1 293","0,00D A","0,00D A"
"ARMY/11+2P","FEUILLE Transfer","517","0,00D A","0,00D A"
"ARMANI 15","PRODUCTION","325","40 625,00D A","40 625,00D A"
"APRENAZ 10","PRODUCTION","502","75 250,00D A","75 250,00D A"
"APPLE","COMMANDE","136 000","142 000,00D A","142 000,00D A"
"ALO POLO","PRODUCTION","126","30 240,00D A","30 240,00D A"
"ALO 16","PRODUCTION","100","24 000,00D A","24 000,00D A"
"ALO","PRODUCTION","100","0,00D A","0,00D A"
"ALL 9","PRODUCTION","400","50 000,00D A","50 000,00D A"
"ALGERIE 70","PRODUCTION","1 103","0,00D A","0,00D A"
"ALGERIE 48 RONDE","PRODUCTION","199","0,00D A","0,00D A"
"ALGERIA ARRAB","PRODUCTION","50","0,00D A","0,00D A"
"AKACHE","CHINE","3","0,00D A","0,00D A"
"ADIDAS FL 6","PRODUCTION","50","0,00D A","0,00D A"
"ADIDAS FL 4","PRODUCTION","450","0,00D A","0,00D A"
"ADIDAS FL 297","PRODUCTION","50","0,00D A","0,00D A"
"ADIDAS FL","JOURNAL SATIN","70","10 000,00D A","10 000,00D A"
"ADIDAS 64","PRODUCTION","200","48 000,00D A","48 000,00D A"
"ADIDAS 57","PRODUCTION","100","12 500,00D A","12 500,00D A"
"ADIDAS 55","PRODUCTION","200","0,00D A","0,00D A"
"ADIDAS 3B 97","PRODUCTION","100","0,00D A","0,00D A"
"ADIDAS 3B 96","PRODUCTION","360","24 000,00D A","24 000,00D A"
"ADIDAS 3B 8","PRODUCTION","200","0,00D A","0,00D A"
"ADIDAS 3B","JOURNAL SATIN","120","45 000,00D A","45 000,00D A"
"ADIDAS 28","PRODUCTION","100","0,00D A","0,00D A"
"ADIDAS 12","PRODUCTION","184","0,00D A","0,00D A"
"150106","FEUILLE CHINE","1 286","0,00D A","0,00D A"
"97082","feuille transfer","104","0,00D A","0,00D A"
"9.5#","ANNEAUX","50","105 000,00D A","105 000,00D A"
"86047","FEUILLE","50","10 000,00D A","10 000,00D A"
"86039","FEUILLE","50","10 000,00D A","10 000,00D A"
"86030","FEUILLE","210","0,00D A","0,00D A"
"86029","FEUILLE","50","10 000,00D A","10 000,00D A"
"85691","FEUILLE","199","37 810,00D A","37 810,00D A"
"72265","FEUILLE","200","42 000,00D A","42 000,00D A"
"70038","FEUILLE","200","42 000,00D A","42 000,00D A"
"53625","FEUILLE","40","8 400,00D A","8 400,00D A"
"53616","FEUILLE","40","8 400,00D A","8 400,00D A"
"40*60","MACHINE PRESSE TR","2","126 000,00D A","126 000,00D A"
"3XL 3","JOURNAL POLYAMIDE","100","0,00D A","0,00D A"
"38*38","MACHINE PRESSE TR","4","180 000,00D A","180 000,00D A"
"1200 ARGENT","OEUILLET","43","34 400,00D A","34 400,00D A"
"107095","FEUILLE CHINE","421","0,00D A","0,00D A"
"107094","FEUILLE CHINE","428","0,00D A","0,00D A"
"107093","FEUILLE CHINE","429","0,00D A","0,00D A"
"107092","FEUILLE CHINE","420","0,00D A","0,00D A"
"107091","FEUILLE CHINE","429","0,00D A","0,00D A"
"107090","FEUILLE CHINE","422","0,00D A","0,00D A"
"107089","FEUILLE CHINE","409","0,00D A","0,00D A"
"107088","FEUILLE CHINE","420","0,00D A","0,00D A"
"106801","FEUILLE CHINE","611","0,00D A","0,00D A"
"106800","FEUILLE CHINE","620","0,00D A","0,00D A"
"106799","FEUILLE CHINE","634","0,00D A","0,00D A"
"106798","FEUILLE CHINE","618","0,00D A","0,00D A"
"103108","FEUILLE CHINE","732","0,00D A","0,00D A"
"103107","FEUILLE CHINE","1 706","0,00D A","0,00D A"
"97085","feuille transfer","316","0,00D A","0,00D A"
"86045","FEUILLE","200","0,00D A","0,00D A"
"800# M ARGENT","OEUILLET","50","0,00D A","0,00D A"
"600# M ARGENT","OEUILLET","50","0,00D A","0,00D A"
"300#","MOULE","20","16 000,00D A","16 000,00D A"
"3.5","SATIN","8","0,00D A","0,00D A"
"2.5","SATIN","6","0,00D A","0,00D A"
"17# BRANZE","JEANS","20","0,00D A","0,00D A"
"17# ARGENT","JEANS","20","0,00D A","0,00D A"
"15# BRANZE","JEANS","20","0,00D A","0,00D A"
"15# ARGENT","JEANS","20","0,00D A","0,00D A"
"111","keyassa","50 400","37 800,00D A","37 800,00D A"
"11#","ANNEAUX","50","140 000,00D A","140 000,00D A"
"1000# M ARGENT","OEUILLET","45","31 500,00D A","31 500,00D A"
"098","keyassa","50 400","37 800,00D A","37 800,00D A"
"074","keyassa","52 800","39 600,00D A","39 600,00D A"
"073","keyassa","200 400","150 300,00D A","150 300,00D A"
"012","keyassa","753 200","564 900,00D A","564 900,00D A"
"011","keyassa","50 000","37 500,00D A","37 500,00D A"
"","traspourt","1","1 000,00D A","1 000,00D A"
"Total","","","7 046 697,00D A","7 046 697,00D A"
